ListOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
Conrad Property Management Inc.,1,875000.0,875000.0,603.45,58.0,58.0,0.9215,0.8754,58.0,20.0,0.00022352,0.00016404,13484,15709
Cranbrook Realty Corp.,1,875000.0,875000.0,576.8,55.0,55.0,1.0294,0.941,69.0,33.0,0.00022352,0.00016404,13484,15709
"Daniel Villarreal, Broker",1,875000.0,875000.0,430.19,11.0,11.0,1.0,1.0,14.0,51.0,0.00022352,0.00016404,13484,15709
Darryl Boyd,1,875000.0,875000.0,504.03,66.0,66.0,0.9733,0.8938,76.0,29.0,0.00022352,0.00016404,13484,15709
Earl Schrader,1,875000.0,875000.0,583.33,5.0,5.0,0.9728,0.9728,8.0,51.0,0.00022352,0.00016404,13484,15709
Extol Management Group Inc.,1,875000.0,875000.0,393.08,71.0,71.0,1.0011,1.0001,71.0,20.0,0.00022352,0.00016404,13484,15709
Gutierrez Real Estate Group,1,875000.0,875000.0,503.16,5.0,5.0,1.0479,1.0479,8.0,44.0,0.00022352,0.00016404,13484,15709
Iberia Enterprises Inc,1,875000.0,875000.0,426.0,125.0,125.0,0.9777,0.9211,125.0,1.0,0.00022352,0.00016404,13484,15709
Indiwest Real Estate,1,875000.0,875000.0,403.97,35.0,35.0,1.0186,1.0186,35.0,12.0,0.00022352,0.00016404,13484,15709
"Laura Godwin, Broker",1,875000.0,875000.0,615.76,94.0,94.0,0.9722,0.9459,96.0,24.0,0.00022352,0.00016404,13484,15709
LeftKoast Real Estate,1,875000.0,875000.0,620.13,53.0,53.0,0.9211,0.9211,53.0,5.0,0.00022352,0.00016404,13484,15709
Maher Commercial Realty,1,875000.0,875000.0,967.92,39.0,39.0,1.0306,0.9777,79.0,84.0,0.00022352,0.00016404,13484,15709
Mazdak Sarehkhani,1,875000.0,875000.0,648.15,57.0,57.0,1.0,8.9748,57.0,25.0,0.00022352,0.00016404,13484,15709
PDC Real Estate,1,875000.0,875000.0,813.95,60.0,60.0,0.9722,0.875,45.0,15.0,0.00022352,0.00016404,13484,15709
Rodrigo Ursulo,1,875000.0,875000.0,419.26,11.0,11.0,1.0,1.0,13.0,63.0,0.00022352,0.00016404,13484,15709
SLV Real Estate,1,875000.0,875000.0,614.47,36.0,36.0,1.0,1.0,36.0,46.0,0.00022352,0.00016404,13484,15709
"Simin Marzvan, Broker",1,875000.0,875000.0,409.26,185.0,185.0,0.9733,0.8974,190.0,38.0,0.00022352,0.00016404,13484,15709
"Tejveer Yadav, Broker",1,875000.0,875000.0,335.38,16.0,16.0,1.0186,1.0186,16.0,27.0,0.00022352,0.00016404,13484,15709
The Graff Group,1,875000.0,875000.0,791.14,9.0,9.0,1.0057,1.0057,9.0,20.0,0.00022352,0.00016404,13484,15709
Welch Realty,1,875000.0,875000.0,537.47,49.0,49.0,0.9722,0.9843,51.0,15.0,0.00022352,0.00016404,13484,15709
Your First Choice Realty,1,875000.0,875000.0,365.5,8.0,8.0,1.0,1.0,91.0,56.0,0.00022352,0.00016404,13484,15709
"Aldina Real Estate, Inc.",1,872000.0,872000.0,372.49,16.0,16.0,1.0081,1.0081,16.0,31.0,0.00022352,0.00016348,13484,15738
Home Hunter,1,872000.0,872000.0,269.64,24.0,24.0,0.97,0.97,60.0,27.0,0.00022352,0.00016348,13484,15738
Alluvium Property Management,1,871500.0,871500.0,548.11,7.0,7.0,1.0023,1.0023,8.0,30.0,0.00022352,0.00016339,13484,15740
Mortgage Solver,1,871500.0,871500.0,327.63,64.0,64.0,0.9905,0.9694,64.0,35.0,0.00022352,0.00016339,13484,15740
CALPREMIERE INC,1,871000.0,871000.0,431.4,48.0,48.0,0.9689,0.9026,48.0,48.0,0.00022352,0.0001633,13484,15742
"Lone Star Real Estate, Inc",2,870500.0,435250.0,296.92,4.0,4.0,0.9945,0.9945,4.5,34.0,0.00044703,0.0001632,10564,15743
KR REALTORS INC.,1,870250.0,870250.0,554.3,29.0,29.0,0.9789,0.9789,42.0,31.0,0.00022352,0.00016315,13484,15744
"YOUnited Options Real Estate, Inc",2,870000.0,435000.0,291.05,79.5,79.5,1.0286,1.0063,117.5,32.0,0.00044703,0.00016311,10564,15745
"Anna Larsson, Broker",1,870000.0,870000.0,355.83,76.0,76.0,1.0069,0.9944,76.0,22.0,0.00022352,0.00016311,13484,15745
"Bartlett Group, The",1,870000.0,870000.0,535.06,11.0,11.0,0.9158,0.9158,16.0,16.0,0.00022352,0.00016311,13484,15745
CENTURY 21 CORNERSTONE,1,870000.0,870000.0,527.91,22.0,22.0,1.0012,1.0012,28.0,32.0,0.00022352,0.00016311,13484,15745
Coastline Real Estate Investments,1,870000.0,870000.0,820.75,97.0,97.0,0.9898,0.9677,118.0,22.0,0.00022352,0.00016311,13484,15745
"Kathy Renner, Broker",1,870000.0,870000.0,537.7,42.0,42.0,0.9668,0.8744,53.0,36.0,0.00022352,0.00016311,13484,15745
Kozi Realty & Investments Inc,1,870000.0,870000.0,490.69,25.0,25.0,0.9887,0.9887,28.0,35.0,0.00022352,0.00016311,13484,15745
Prevail Real Estate,1,870000.0,870000.0,578.84,17.0,17.0,0.9679,0.9679,17.0,30.0,0.00022352,0.00016311,13484,15745
Shan Chi Sun,1,870000.0,870000.0,422.54,62.0,62.0,0.9898,0.9898,75.0,17.0,0.00022352,0.00016311,13484,15745
"Susan Hsieh, Broker",1,870000.0,870000.0,511.76,32.0,32.0,1.1041,1.1041,47.0,29.0,0.00022352,0.00016311,13484,15745
The Prestige Realty Group,1,870000.0,870000.0,521.58,18.0,18.0,1.0116,1.0116,29.0,27.0,0.00022352,0.00016311,13484,15745
"Troy Staten, Broker",1,870000.0,870000.0,736.04,0.0,0.0,1.0,1.0,0.0,0.0,0.00022352,0.00016311,13484,15745
"VirtuaLending, Inc.",1,870000.0,870000.0,576.92,5.0,5.0,1.0235,1.0235,5.0,69.0,0.00022352,0.00016311,13484,15745
Smart City Realty,1,869000.0,869000.0,579.33,143.0,143.0,1.0,0.9354,191.0,27.0,0.00022352,0.00016292,13484,15758
Capri Real Estate Services,1,868000.0,868000.0,603.62,237.0,237.0,0.9657,0.869,237.0,0.0,0.00022352,0.00016273,13484,15759
"Christopher Oliver, Broker",1,868000.0,868000.0,687.8,12.0,12.0,1.0272,1.0272,21.0,25.0,0.00022352,0.00016273,13484,15759
LBE Inc,1,868000.0,868000.0,740.61,12.0,12.0,1.0212,1.0212,31.0,33.0,0.00022352,0.00016273,13484,15759
Velasco Realty Group,1,867000.0,867000.0,495.71,39.0,39.0,0.68,0.68,40.0,78.0,0.00022352,0.00016255,13484,15762
DealTrade Inc.,1,866000.0,866000.0,919.32,41.0,41.0,1.0081,0.9362,81.0,21.0,0.00022352,0.00016236,13484,15763
"Eli S. Stella, Broker",1,866000.0,866000.0,634.9,9.0,9.0,1.0322,1.0322,18.0,31.0,0.00022352,0.00016236,13484,15763
"Paul Jensen, Broker",2,865000.0,432500.0,349.94,114.5,114.5,0.997,0.9729,135.0,60.0,0.00044703,0.00016217,10564,15765
Aloha Realty,1,865000.0,865000.0,570.2,9.0,9.0,0.9886,0.9886,9.0,24.0,0.00022352,0.00016217,13484,15765
"CARL AASTROM, BROKER",1,865000.0,865000.0,456.46,48.0,48.0,0.9841,0.9622,48.0,31.0,0.00022352,0.00016217,13484,15765
"Daphnie Wang, Broker",1,865000.0,865000.0,640.74,66.0,66.0,0.9611,0.9611,74.0,36.0,0.00022352,0.00016217,13484,15765
Dunston Realty,1,865000.0,865000.0,387.2,53.0,53.0,1.0,0.9774,53.0,35.0,0.00022352,0.00016217,13484,15765
Galaxy Realty & Investment,1,865000.0,865000.0,750.22,6.0,6.0,1.0,1.0,31.0,38.0,0.00022352,0.00016217,13484,15765
Hilltop Properties,1,865000.0,865000.0,638.85,12.0,12.0,0.8659,0.8659,14.0,36.0,0.00022352,0.00016217,13484,15765
"Joseph Gargen, Broker",1,865000.0,865000.0,961.11,65.0,65.0,0.9719,0.8737,65.0,78.0,0.00022352,0.00016217,13484,15765
"Michael Gaddis, J.D. Realty Group",1,865000.0,865000.0,347.95,39.0,39.0,1.0,1.0,39.0,25.0,0.00022352,0.00016217,13484,15765
"Raj Arora, Broker",1,865000.0,865000.0,728.73,23.0,23.0,1.0188,1.0188,26.0,88.0,0.00022352,0.00016217,13484,15765
"Richard Sinnett, Broker",1,865000.0,865000.0,664.36,3.0,3.0,0.9622,0.9622,2.0,14.0,0.00022352,0.00016217,13484,15765
"Sean Murray, Broker",1,865000.0,865000.0,326.42,2.0,2.0,1.007,1.007,3.0,21.0,0.00022352,0.00016217,13484,15765
Sunrise Realtors,1,865000.0,865000.0,845.55,263.0,263.0,0.9622,0.9115,300.0,42.0,0.00022352,0.00016217,13484,15765
CREIGHTON REAL ESTATE,2,864900.0,432450.0,263.6,127.5,127.5,1.0,0.9905,134.0,45.0,0.00044703,0.00016215,10564,15778
"Andrew Pence, Broker",2,864000.0,432000.0,237.46,10.5,10.5,1.0001,1.0001,14.0,37.5,0.00044703,0.00016198,10564,15779
Laura Brandon Realty,1,863750.0,863750.0,825.76,68.0,68.0,1.0055,0.9716,101.0,30.0,0.00022352,0.00016194,13484,15780
The Holstein Group,1,862500.0,862500.0,845.59,42.0,42.0,0.9857,0.9857,42.0,24.0,0.00022352,0.0001617,13484,15781
Ginger James,2,862000.0,431000.0,521.56,10.0,10.0,0.9651,0.9651,10.5,20.0,0.00044703,0.00016161,10564,15782
Anderson Property Services,1,862000.0,862000.0,529.81,6.0,6.0,1.0525,1.0525,10.0,16.0,0.00022352,0.00016161,13484,15782
Gary Morris,1,861000.0,861000.0,627.55,27.0,27.0,1.083,1.083,44.0,17.0,0.00022352,0.00016142,13484,15784
"Denise Lynn Ellis, Broker",2,860000.0,430000.0,213.53,60.5,60.5,0.944,0.9323,67.0,24.0,0.00044703,0.00016123,10564,15785
Four Brothers Real Estate Inc.,2,860000.0,430000.0,522.42,18.5,18.5,0.9902,1.0046,21.5,50.0,0.00044703,0.00016123,10564,15785
CR Properties Real Estate Serv,1,860000.0,860000.0,421.36,17.0,17.0,1.0,1.0,17.0,33.0,0.00022352,0.00016123,13484,15785
Crest Funding Group,1,860000.0,860000.0,587.43,47.0,47.0,0.9829,0.9566,50.0,28.0,0.00022352,0.00016123,13484,15785
Crestline Realty,1,860000.0,860000.0,392.34,100.0,100.0,0.9556,0.7173,100.0,30.0,0.00022352,0.00016123,13484,15785
D. C. Financial Service,1,860000.0,860000.0,637.04,22.0,22.0,0.9886,0.9663,22.0,16.0,0.00022352,0.00016123,13484,15785
"Dory Simaan, Broker",1,860000.0,860000.0,487.8,15.0,15.0,0.8609,0.8609,32.0,18.0,0.00022352,0.00016123,13484,15785
"Eldon Daetweiler, Broker",1,860000.0,860000.0,685.81,2.0,2.0,1.0012,1.0012,2.0,29.0,0.00022352,0.00016123,13484,15785
FULLHOUSE REALTY,1,860000.0,860000.0,619.6,40.0,40.0,0.9685,0.9685,41.0,23.0,0.00022352,0.00016123,13484,15785
"Gail Myers, Broker",1,860000.0,860000.0,614.29,78.0,78.0,0.9566,0.9257,89.0,21.0,0.00022352,0.00016123,13484,15785
HAMILTON FINANCIAL SERVICES,1,860000.0,860000.0,551.28,28.0,28.0,0.9257,0.9257,28.0,28.0,0.00022352,0.00016123,13484,15785
HUNG & COMPANY,1,860000.0,860000.0,306.6,5.0,5.0,0.9908,0.9908,8.0,46.0,0.00022352,0.00016123,13484,15785
INVESTCO,1,860000.0,860000.0,725.74,47.0,47.0,1.0424,1.0424,47.0,70.0,0.00022352,0.00016123,13484,15785
Odette Sarkissian,1,860000.0,860000.0,422.6,6.0,6.0,0.9896,0.9896,6.0,33.0,0.00022352,0.00016123,13484,15785
Omar Gudino,1,860000.0,860000.0,487.53,86.0,86.0,0.9609,0.8776,103.0,16.0,0.00022352,0.00016123,13484,15785
OneAmerica Real Estate and Mortgage,1,860000.0,860000.0,268.83,20.0,20.0,1.0053,1.0053,25.0,30.0,0.00022352,0.00016123,13484,15785
Pacific West Business Prop Inc,1,860000.0,860000.0,823.75,38.0,38.0,1.0955,1.0955,39.0,2.0,0.00022352,0.00016123,13484,15785
Property Investment Srvcs,1,860000.0,860000.0,792.63,61.0,61.0,0.9566,0.9566,61.0,7.0,0.00022352,0.00016123,13484,15785
Renz & Renz,1,860000.0,860000.0,471.75,49.0,49.0,0.8731,0.839,49.0,32.0,0.00022352,0.00016123,13484,15785
"Richard Williams, Real Estate Broker",1,860000.0,860000.0,800.74,5.0,5.0,1.013,1.013,8.0,37.0,0.00022352,0.00016123,13484,15785
Rock Refuge Realty,1,860000.0,860000.0,609.07,55.0,55.0,0.9942,0.9081,63.0,28.0,0.00022352,0.00016123,13484,15785
S D Sol Realty,1,860000.0,860000.0,704.34,14.0,14.0,0.9829,0.9829,14.0,30.0,0.00022352,0.00016123,13484,15785
Silva Coast Realty,1,860000.0,860000.0,569.16,13.0,13.0,1.0118,1.0118,121.0,14.0,0.00022352,0.00016123,13484,15785
"Specialized Realty, Inc.",1,860000.0,860000.0,680.38,12.0,12.0,1.0763,1.0763,12.0,31.0,0.00022352,0.00016123,13484,15785
Su Casa Realty & Financial,1,860000.0,860000.0,478.58,25.0,25.0,1.0023,0.9908,28.0,16.0,0.00022352,0.00016123,13484,15785
"Toshi Mukai, Broker",1,860000.0,860000.0,462.37,7.0,7.0,0.9829,0.9829,10.0,30.0,0.00022352,0.00016123,13484,15785
VILLAGE REALTORS,1,860000.0,860000.0,704.92,90.0,90.0,0.9886,0.9557,90.0,21.0,0.00022352,0.00016123,13484,15785
"WILLIAM HWANG, BROKER",1,860000.0,860000.0,252.27,30.0,30.0,0.9896,0.9896,30.0,30.0,0.00022352,0.00016123,13484,15785
"Cedar Tree Real Estate, Inc.",2,859000.0,429500.0,363.91,10.0,10.0,0.987,0.987,11.0,26.5,0.00044703,0.00016105,10564,15813
Amy Brick dba Brick & Co. Real Estate,1,859000.0,859000.0,456.43,9.0,9.0,1.0,1.0,9.0,34.0,0.00022352,0.00016105,13484,15813
Real Estate Mechanics,1,859000.0,859000.0,440.51,137.0,137.0,0.9772,0.9772,140.0,3.0,0.00022352,0.00016105,13484,15813
PascommGroup,2,858000.0,429000.0,409.3,41.5,41.5,1.0,1.0,41.5,22.5,0.00044703,0.00016086,10564,15816
Berkshire Hathaway HomeServic,1,858000.0,858000.0,685.3,6.0,6.0,1.0593,1.0476,9.0,20.0,0.00022352,0.00016086,13484,15816
San Diego Vintage Homes,1,858000.0,858000.0,556.78,15.0,15.0,0.9977,0.9977,15.0,33.0,0.00022352,0.00016086,13484,15816
Sol Realty & Investments,1,857500.0,857500.0,385.57,126.0,126.0,0.98,0.9026,135.0,29.0,0.00022352,0.00016076,13484,15819
First City Realty,1,857000.0,857000.0,674.8,5.0,5.0,1.0862,1.0862,5.0,48.0,0.00022352,0.00016067,13484,15820
"RBV Properties, Inc.",1,856250.0,856250.0,1297.35,36.0,36.0,0.9786,0.9786,36.0,29.0,0.00022352,0.00016053,13484,15821
INVESTCORP REAL ESTATE,2,856000.0,428000.0,360.56,90.0,90.0,0.9228,0.8453,92.5,34.0,0.00044703,0.00016048,10564,15822
"Shelter Residential, Inc",2,856000.0,428000.0,245.3,33.5,33.5,0.9927,0.9967,34.0,22.5,0.00044703,0.00016048,10564,15822
David Norwood Central Coast Real Estate,2,855000.0,427500.0,254.4,9.0,9.0,1.0256,1.0256,9.0,29.5,0.00044703,0.0001603,10564,15824
Girley Real Estate,2,855000.0,427500.0,294.32,150.5,150.5,0.9309,0.878,172.0,23.0,0.00044703,0.0001603,10564,15824
National Finacial Services Corp,2,855000.0,427500.0,266.37,22.0,22.0,0.9857,0.9568,74.0,36.5,0.00044703,0.0001603,10564,15824
Berkshire Hathaway HomeServices Drysdale Properties,1,855000.0,855000.0,469.78,7.0,7.0,0.9839,0.9839,74.0,24.0,0.00022352,0.0001603,13484,15824
CROSSCOUNTRY REAL ESTATE,1,855000.0,855000.0,618.22,8.0,8.0,1.0688,1.0688,8.0,18.0,0.00022352,0.0001603,13484,15824
Daniel Saakyan,1,855000.0,855000.0,612.9,12.0,12.0,1.0059,1.0059,19.0,28.0,0.00022352,0.0001603,13484,15824
"George Taggart III, Inc.",1,855000.0,855000.0,475.26,32.0,32.0,1.0083,0.9618,34.0,13.0,0.00022352,0.0001603,13484,15824
Heath Realty,1,855000.0,855000.0,389.52,13.0,13.0,1.0688,1.0688,13.0,21.0,0.00022352,0.0001603,13484,15824
"Lifeway Realty, Inc",1,855000.0,855000.0,686.75,9.0,9.0,1.0301,1.0301,9.0,28.0,0.00022352,0.0001603,13484,15824
MARYANN MUSTER,1,855000.0,855000.0,443.69,22.0,22.0,0.9543,0.9543,31.0,49.0,0.00022352,0.0001603,13484,15824
"Mitchell Gottlieb, Broker",1,855000.0,855000.0,603.81,9.0,9.0,0.9771,0.9771,16.0,18.0,0.00022352,0.0001603,13484,15824
Pro-1 Group,1,855000.0,855000.0,552.33,252.0,252.0,1.0,0.8341,257.0,102.0,0.00022352,0.0001603,13484,15824
RHS REAL ESTATE,1,855000.0,855000.0,592.93,9.0,9.0,0.9862,0.9862,10.0,21.0,0.00022352,0.0001603,13484,15824
Sunset Cliffs Realty,1,855000.0,855000.0,498.25,113.0,113.0,0.9553,0.9243,113.0,40.0,0.00022352,0.0001603,13484,15824
The Paul Miller Company,1,855000.0,855000.0,733.28,59.0,59.0,0.9771,0.9771,62.0,0.0,0.00022352,0.0001603,13484,15824
Unity REALTORS & Associates,1,855000.0,855000.0,463.41,41.0,41.0,1.0059,1.0059,55.0,30.0,0.00022352,0.0001603,13484,15824
National Real Estate,1,854000.0,854000.0,505.33,227.0,227.0,0.951,0.9232,227.0,28.0,0.00022352,0.00016011,13484,15840
SSK Realty,1,852500.0,852500.0,284.07,162.0,162.0,0.981,0.9589,163.0,26.0,0.00022352,0.00015983,13484,15841
"Cristina Corea, Broker",1,851000.0,851000.0,588.52,9.0,9.0,1.0651,1.0651,9.0,13.0,0.00022352,0.00015955,13484,15842
"Hugh Nguyen, Broker",1,851000.0,851000.0,543.42,19.0,19.0,0.9896,0.9896,19.0,37.0,0.00022352,0.00015955,13484,15842
LANDVIEW PROPERTIES INC.,1,850500.0,850500.0,587.77,39.0,39.0,0.9913,0.9913,39.0,16.0,0.00022352,0.00015945,13484,15844
ZENCREST HOMES,1,850100.0,850100.0,660.53,9.0,9.0,1.064,1.064,12.0,15.0,0.00022352,0.00015938,13484,15845
"US Rockland Financial, Inc",1,850050.0,850050.0,563.69,205.0,205.0,0.9468,0.9062,217.0,32.0,0.00022352,0.00015937,13484,15846
"JJ Realty Consulting, Inc.",2,850000.0,425000.0,545.34,83.0,83.0,0.9725,0.8738,89.5,19.0,0.00044703,0.00015936,10564,15847
OCEAN VALLEY REALTY,2,850000.0,425000.0,449.87,14.5,14.5,1.0,1.0,15.0,43.0,0.00044703,0.00015936,10564,15847
AK Luxury Properties Inc,1,850000.0,850000.0,764.39,78.0,78.0,1.0,0.967,78.0,18.0,0.00022352,0.00015936,13484,15847
Allure Realty Group,1,850000.0,850000.0,523.72,70.0,70.0,1.0012,0.8947,,,0.00022352,0.00015936,13484,15847
Alpine Luxe Properties,1,850000.0,850000.0,623.17,36.0,36.0,1.0001,0.9445,38.0,15.0,0.00022352,0.00015936,13484,15847
"BZH Properties, Inc",1,850000.0,850000.0,885.42,23.0,23.0,0.9827,0.9827,23.0,20.0,0.00022352,0.00015936,13484,15847
Baumler Real Estate,1,850000.0,850000.0,1004.73,10.0,10.0,1.0638,1.0638,10.0,32.0,0.00022352,0.00015936,13484,15847
Berkshire Hathaway HS Drysdale,1,850000.0,850000.0,697.87,4.0,4.0,0.9781,0.9781,4.0,43.0,0.00022352,0.00015936,13484,15847
CLI Realty Innovations,1,850000.0,850000.0,453.82,44.0,44.0,1.0,0.9551,44.0,29.0,0.00022352,0.00015936,13484,15847
California Real Estate Brokers,1,850000.0,850000.0,1219.51,70.0,70.0,0.9827,0.9605,70.0,26.0,0.00022352,0.00015936,13484,15847
"Carl Lofton, Broker",1,850000.0,850000.0,300.88,0.0,0.0,1.0,1.0,2.0,115.0,0.00022352,0.00015936,13484,15847
Coastland Property Management,1,850000.0,850000.0,618.63,6.0,6.0,0.977,0.977,8.0,32.0,0.00022352,0.00015936,13484,15847
Coldwell Banker Omni Group,1,850000.0,850000.0,764.39,33.0,33.0,0.9913,0.9776,33.0,36.0,0.00022352,0.00015936,13484,15847
David Ballin Kaufman,1,850000.0,850000.0,531.25,3.0,3.0,1.0638,1.0638,3.0,20.0,0.00022352,0.00015936,13484,15847
Dawn Havel,1,850000.0,850000.0,607.14,114.0,114.0,1.0,0.8509,179.0,30.0,0.00022352,0.00015936,13484,15847
"Edward Chen, Broker",1,850000.0,850000.0,607.14,49.0,49.0,1.0,0.9659,49.0,35.0,0.00022352,0.00015936,13484,15847
Expert Realty,1,850000.0,850000.0,371.18,63.0,63.0,0.9714,0.9714,66.0,30.0,0.00022352,0.00015936,13484,15847
First Legacy Corporation,1,850000.0,850000.0,396.27,10.0,10.0,1.0303,1.0303,16.0,25.0,0.00022352,0.00015936,13484,15847
Frances Lee Real Estate,1,850000.0,850000.0,716.69,0.0,0.0,1.0,1.0,0.0,28.0,0.00022352,0.00015936,13484,15847
GPA Realty,1,850000.0,850000.0,574.71,13.0,13.0,0.9659,0.9659,13.0,18.0,0.00022352,0.00015936,13484,15847
Generational Stewardship Real Estate Agency,1,850000.0,850000.0,665.1,52.0,52.0,0.966,0.9552,52.0,14.0,0.00022352,0.00015936,13484,15847
Golden Sun Realty & Loans Inc,1,850000.0,850000.0,485.44,18.0,18.0,1.0692,1.0692,18.0,7.0,0.00022352,0.00015936,13484,15847
Gracie Homes Realty,1,850000.0,850000.0,758.93,4.0,4.0,1.018,1.018,15.0,37.0,0.00022352,0.00015936,13484,15847
Ivory Commercial Real Estate,1,850000.0,850000.0,321.97,21.0,21.0,1.0001,1.0001,23.0,17.0,0.00022352,0.00015936,13484,15847
JMK Properties,1,850000.0,850000.0,352.11,7.0,7.0,1.0,1.0,10.0,14.0,0.00022352,0.00015936,13484,15847
Joe Schmit/Broker,1,850000.0,850000.0,374.28,190.0,190.0,0.9091,0.9091,210.0,56.0,0.00022352,0.00015936,13484,15847
"John Chargin, Broker",1,850000.0,850000.0,413.83,6.0,6.0,1.0,1.0,7.0,29.0,0.00022352,0.00015936,13484,15847
"Karen L. Galindo, Broker",1,850000.0,850000.0,316.34,3.0,3.0,1.0,1.0,73.0,51.0,0.00022352,0.00015936,13484,15847
LT MANAGEMENT GROUP,1,850000.0,850000.0,231.99,130.0,130.0,0.9659,0.9444,130.0,25.0,0.00022352,0.00015936,13484,15847
"Lisa Amorim, Broker",1,850000.0,850000.0,754.21,87.0,87.0,0.9714,0.8947,87.0,26.0,0.00022352,0.00015936,13484,15847
MARKET EXPERTS REAL ESTATE,1,850000.0,850000.0,342.19,17.0,17.0,1.1333,0.9455,24.0,43.0,0.00022352,0.00015936,13484,15847
MBS Capital Group Inc.,1,850000.0,850000.0,487.11,9.0,9.0,0.9942,0.9942,9.0,186.0,0.00022352,0.00015936,13484,15847
MDalton Properties,1,850000.0,850000.0,388.66,182.0,182.0,0.9771,0.966,182.0,19.0,0.00022352,0.00015936,13484,15847
MLS Financial Group Inc,1,850000.0,850000.0,422.68,7.0,7.0,1.0,1.0,7.0,31.0,0.00022352,0.00015936,13484,15847
MacLons Capital Realty,1,850000.0,850000.0,580.2,74.0,74.0,1.0241,1.0,74.0,34.0,0.00022352,0.00015936,13484,15847
Mario Vargas Broker,1,850000.0,850000.0,641.51,10.0,10.0,1.0828,1.0828,11.0,40.0,0.00022352,0.00015936,13484,15847
Mastiha Inc.,1,850000.0,850000.0,681.09,54.0,54.0,0.966,0.929,68.0,34.0,0.00022352,0.00015936,13484,15847
Nancy Lee Gillingham/ Broker,1,850000.0,850000.0,533.25,52.0,52.0,0.9561,0.9561,52.0,34.0,0.00022352,0.00015936,13484,15847
PRATT REALTY,1,850000.0,850000.0,461.2,4.0,4.0,1.0625,1.0625,5.0,24.0,0.00022352,0.00015936,13484,15847
Pacific Properties & Finance,1,850000.0,850000.0,843.25,13.0,13.0,1.0303,1.0303,13.0,25.0,0.00022352,0.00015936,13484,15847
Power Brokers Realty,1,850000.0,850000.0,606.71,3.0,3.0,1.0119,1.0119,3.0,22.0,0.00022352,0.00015936,13484,15847
"ROBERT SHANE MEISEL, BROKER",1,850000.0,850000.0,525.99,0.0,0.0,0.9445,0.9445,21.0,37.0,0.00022352,0.00015936,13484,15847
Ramona Estates Properties,1,850000.0,850000.0,615.05,9.0,9.0,1.0,1.0,10.0,50.0,0.00022352,0.00015936,13484,15847
Red Carpet-Shamoun,1,850000.0,850000.0,467.55,52.0,52.0,0.977,0.9551,52.0,34.0,0.00022352,0.00015936,13484,15847
Rio Services,1,850000.0,850000.0,708.33,12.0,12.0,1.0692,1.0692,12.0,17.0,0.00022352,0.00015936,13484,15847
Scott Anastasi Realty,1,850000.0,850000.0,495.63,351.0,351.0,0.9445,0.8948,356.0,21.0,0.00022352,0.00015936,13484,15847
Shoreline Luxury Estates,1,850000.0,850000.0,693.88,3.0,3.0,1.0241,1.0241,9.0,27.0,0.00022352,0.00015936,13484,15847
Silverwood Realty & Investment,1,850000.0,850000.0,518.93,9.0,9.0,1.018,1.018,10.0,25.0,0.00022352,0.00015936,13484,15847
"Steven T Lirley, Broker",1,850000.0,850000.0,377.44,15.0,15.0,0.9444,0.9444,15.0,36.0,0.00022352,0.00015936,13484,15847
Summit Realty Inc,1,850000.0,850000.0,717.91,85.0,85.0,0.9884,0.8947,109.0,30.0,0.00022352,0.00015936,13484,15847
Sunrise Acceptance Corp,1,850000.0,850000.0,488.79,16.0,16.0,1.0,1.0,19.0,35.0,0.00022352,0.00015936,13484,15847
THOMAS HANKS BROKER,1,850000.0,850000.0,676.21,3.0,3.0,0.9572,0.9572,14.0,14.0,0.00022352,0.00015936,13484,15847
"VIP Success, Inc.",1,850000.0,850000.0,760.29,61.0,61.0,0.9748,0.9529,63.0,41.0,0.00022352,0.00015936,13484,15847
VISTA REALTY INC.,1,850000.0,850000.0,392.43,134.0,134.0,0.9043,0.8854,141.0,35.0,0.00022352,0.00015936,13484,15847
Win Newt Inc,1,850000.0,850000.0,638.14,28.0,28.0,0.9714,0.8947,45.0,34.0,0.00022352,0.00015936,13484,15847
Wofford Realty Group,1,850000.0,850000.0,745.61,12.0,12.0,1.0,1.0,12.0,29.0,0.00022352,0.00015936,13484,15847
"Xavier Shibata, Broker",1,850000.0,850000.0,699.59,4.0,4.0,0.9884,0.9884,5.0,21.0,0.00022352,0.00015936,13484,15847
eXp Realty of Greater LA INC.,1,850000.0,850000.0,442.02,67.0,67.0,0.9714,0.914,68.0,54.0,0.00022352,0.00015936,13484,15847
SPEAR REALTY GROUP,1,849999.0,849999.0,439.96,14.0,14.0,1.0,0.9714,15.0,30.0,0.00022352,0.00015936,13484,15905
Sam's Realty and Investment,2,849000.0,424500.0,459.51,24.0,24.0,1.0014,0.9731,24.0,37.0,0.00044703,0.00015917,10564,15906
Banner Financial Services Inc,1,849000.0,849000.0,448.97,25.0,25.0,1.0,0.9659,25.0,14.0,0.00022352,0.00015917,13484,15906
Maria Banev,1,849000.0,849000.0,464.95,23.0,23.0,1.0,1.0,23.0,11.0,0.00022352,0.00015917,13484,15906
Molloy Real Estate Service,1,849000.0,849000.0,766.25,75.0,75.0,1.0,1.0,75.0,74.0,0.00022352,0.00015917,13484,15906
